experiment,response_id,participant_hashed_id,child_hashed_id,date_created,completed,is_preview,child_age_rounded,child_gender,condition,phase,scenario,scenario_object,video,question_type,response,rt_ms
exp2,425875,3TNCHB,FXC3NZ,2026-04-15,True,False,2010,f,0,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,61955
exp2,425875,3TNCHB,FXC3NZ,2026-04-15,True,False,2010,f,0,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,24741
exp2,425875,3TNCHB,FXC3NZ,2026-04-15,True,False,2010,f,0,test,scenario_1,physical_shock,physical_shock_lexical,lexical,proximal,10407
exp2,425875,3TNCHB,FXC3NZ,2026-04-15,True,False,2010,f,0,test,scenario_1,physical_shock,physical_shock_caused,caused,distal,8905
exp2,425875,3TNCHB,FXC3NZ,2026-04-15,True,False,2010,f,0,test,scenario_2,physical_hurt,physical_hurt_lexical,lexical,proximal,11477
exp2,425875,3TNCHB,FXC3NZ,2026-04-15,True,False,2010,f,0,test,scenario_2,physical_hurt,physical_hurt_caused,caused,distal,8052
exp2,425891,NHHKGW,G3RHJW,2026-04-15,False,False,1920,m,4,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,54831
exp2,425891,NHHKGW,G3RHJW,2026-04-15,False,False,1920,m,4,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,21951
exp2,425891,NHHKGW,G3RHJW,2026-04-15,False,False,1920,m,4,test,scenario_1,mental_shock,mental_shock_lexical,lexical,distal,17990
exp2,425891,NHHKGW,G3RHJW,2026-04-15,False,False,1920,m,4,test,scenario_1,mental_shock,mental_shock_caused,caused,distal,6774
exp2,425891,NHHKGW,G3RHJW,2026-04-15,False,False,1920,m,4,test,scenario_2,mental_hurt,mental_hurt_lexical,lexical,distal,6487
exp2,425891,NHHKGW,G3RHJW,2026-04-15,False,False,1920,m,4,test,scenario_2,mental_hurt,mental_hurt_caused,caused,distal,5607
exp2,425927,7MDHK5,4A3734,2026-04-15,True,False,2130,m,6,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,53503
exp2,425927,7MDHK5,4A3734,2026-04-15,True,False,2130,m,6,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,23006
exp2,425927,7MDHK5,4A3734,2026-04-15,True,False,2130,m,6,test,scenario_1,mental_hurt,mental_hurt_lexical,lexical,distal,13690
exp2,425927,7MDHK5,4A3734,2026-04-15,True,False,2130,m,6,test,scenario_1,mental_hurt,mental_hurt_caused,caused,distal,21651
exp2,425927,7MDHK5,4A3734,2026-04-15,True,False,2130,m,6,test,scenario_2,mental_shock,mental_shock_lexical,lexical,distal,9009
exp2,425927,7MDHK5,4A3734,2026-04-15,True,False,2130,m,6,test,scenario_2,mental_shock,mental_shock_caused,caused,proximal,6800
exp2,425959,6S2MY5,2N3Ldc,2026-04-15,True,False,2490,f,2,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,55805
exp2,425959,6S2MY5,2N3Ldc,2026-04-15,True,False,2490,f,2,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,22330
exp2,425959,6S2MY5,2N3Ldc,2026-04-15,True,False,2490,f,2,test,scenario_1,physical_hurt,physical_hurt_lexical,lexical,proximal,7604
exp2,425959,6S2MY5,2N3Ldc,2026-04-15,True,False,2490,f,2,test,scenario_1,physical_hurt,physical_hurt_caused,caused,distal,12622
exp2,425959,6S2MY5,2N3Ldc,2026-04-15,True,False,2490,f,2,test,scenario_2,physical_shock,physical_shock_lexical,lexical,proximal,6954
exp2,425959,6S2MY5,2N3Ldc,2026-04-15,True,False,2490,f,2,test,scenario_2,physical_shock,physical_shock_caused,caused,distal,8669
exp2,425960,ZJW3dW,QJTTU3,2026-04-15,True,False,2520,o,3,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,55767
exp2,425960,ZJW3dW,QJTTU3,2026-04-15,True,False,2520,o,3,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,23861
exp2,425960,ZJW3dW,QJTTU3,2026-04-15,True,False,2520,o,3,test,scenario_1,physical_hurt,physical_hurt_caused,caused,distal,20233
exp2,425960,ZJW3dW,QJTTU3,2026-04-15,True,False,2520,o,3,test,scenario_1,physical_hurt,physical_hurt_lexical,lexical,distal,17213
exp2,425960,ZJW3dW,QJTTU3,2026-04-15,True,False,2520,o,3,test,scenario_2,physical_shock,physical_shock_caused,caused,distal,7278
exp2,425960,ZJW3dW,QJTTU3,2026-04-15,True,False,2520,o,3,test,scenario_2,physical_shock,physical_shock_lexical,lexical,proximal,8849
