experiment,response_id,participant_hashed_id,child_hashed_id,date_created,completed,is_preview,child_age_rounded,child_gender,condition,phase,scenario,scenario_object,video,question_type,response,rt_ms
exp3,426093,PZUARM,K2SX2X,2026-04-15,True,False,2010,f,1,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,53042
exp3,426093,PZUARM,K2SX2X,2026-04-15,True,False,2010,f,1,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,22785
exp3,426093,PZUARM,K2SX2X,2026-04-15,True,False,2010,f,1,test,scenario_1,scared,scared_caused,caused,distal,9702
exp3,426093,PZUARM,K2SX2X,2026-04-15,True,False,2010,f,1,test,scenario_1,scared,scared_lexical,lexical,proximal,8152
exp3,426093,PZUARM,K2SX2X,2026-04-15,True,False,2010,f,1,test,scenario_2,surprised,surprised_caused,caused,distal,9029
exp3,426093,PZUARM,K2SX2X,2026-04-15,True,False,2010,f,1,test,scenario_2,surprised,surprised_lexical,lexical,proximal,7000
exp3,426112,56LJJD,ZZTSVK,2026-04-15,False,False,2490,m,1,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,54916
exp3,426112,56LJJD,ZZTSVK,2026-04-15,False,False,2490,m,1,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,23062
exp3,426112,56LJJD,ZZTSVK,2026-04-15,False,False,2490,m,1,test,scenario_1,scared,scared_caused,caused,distal,9250
exp3,426112,56LJJD,ZZTSVK,2026-04-15,False,False,2490,m,1,test,scenario_1,scared,scared_lexical,lexical,proximal,7511
exp3,426112,56LJJD,ZZTSVK,2026-04-15,False,False,2490,m,1,test,scenario_2,surprised,surprised_caused,caused,proximal,12655
exp3,426112,56LJJD,ZZTSVK,2026-04-15,False,False,2490,m,1,test,scenario_2,surprised,surprised_lexical,lexical,distal,9848
exp3,426133,622CK2,BYZGc2,2026-04-16,True,False,2520,f,2,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,52603
exp3,426133,622CK2,BYZGc2,2026-04-16,True,False,2520,f,2,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,22316
exp3,426133,622CK2,BYZGc2,2026-04-16,True,False,2520,f,2,test,scenario_1,surprised,surprised_lexical,lexical,proximal,6939
exp3,426133,622CK2,BYZGc2,2026-04-16,True,False,2520,f,2,test,scenario_1,surprised,surprised_caused,caused,distal,7836
exp3,426133,622CK2,BYZGc2,2026-04-16,True,False,2520,f,2,test,scenario_2,scared,scared_lexical,lexical,proximal,6723
exp3,426133,622CK2,BYZGc2,2026-04-16,True,False,2520,f,2,test,scenario_2,scared,scared_caused,caused,distal,8087
exp3,426134,dSX4WA,RNDJYT,2026-04-16,True,False,2010,f,0,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,52433
exp3,426134,dSX4WA,RNDJYT,2026-04-16,True,False,2010,f,0,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,24445
exp3,426134,dSX4WA,RNDJYT,2026-04-16,True,False,2010,f,0,test,scenario_1,scared,scared_lexical,lexical,proximal,25950
exp3,426134,dSX4WA,RNDJYT,2026-04-16,True,False,2010,f,0,test,scenario_1,scared,scared_caused,caused,distal,6393
exp3,426134,dSX4WA,RNDJYT,2026-04-16,True,False,2010,f,0,test,scenario_2,surprised,surprised_lexical,lexical,proximal,9575
exp3,426134,dSX4WA,RNDJYT,2026-04-16,True,False,2010,f,0,test,scenario_2,surprised,surprised_caused,caused,distal,15263
exp3,426161,CMKM45,TdXPYL,2026-04-16,True,False,2520,m,3,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,68783
exp3,426161,CMKM45,TdXPYL,2026-04-16,True,False,2520,m,3,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,38281
exp3,426161,CMKM45,TdXPYL,2026-04-16,True,False,2520,m,3,test,scenario_1,surprised,surprised_caused,caused,proximal,8771
exp3,426161,CMKM45,TdXPYL,2026-04-16,True,False,2520,m,3,test,scenario_1,surprised,surprised_lexical,lexical,proximal,7098
exp3,426161,CMKM45,TdXPYL,2026-04-16,True,False,2520,m,3,test,scenario_2,scared,scared_caused,caused,proximal,12255
exp3,426161,CMKM45,TdXPYL,2026-04-16,True,False,2520,m,3,test,scenario_2,scared,scared_lexical,lexical,proximal,10658
exp3,426162,EBM36Z,UEGAc4,2026-04-16,False,False,1860,f,3,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,55495
exp3,426162,EBM36Z,UEGAc4,2026-04-16,False,False,1860,f,3,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,24163
exp3,426162,EBM36Z,UEGAc4,2026-04-16,False,False,1860,f,3,test,scenario_1,surprised,surprised_caused,caused,proximal,11110
exp3,426162,EBM36Z,UEGAc4,2026-04-16,False,False,1860,f,3,test,scenario_1,surprised,surprised_lexical,lexical,proximal,10124
exp3,426162,EBM36Z,UEGAc4,2026-04-16,False,False,1860,f,3,test,scenario_2,scared,scared_caused,caused,proximal,12436
exp3,426162,EBM36Z,UEGAc4,2026-04-16,False,False,1860,f,3,test,scenario_2,scared,scared_lexical,lexical,proximal,14594
